Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
25.13,1.428,8.5813
25.14,1.428,8.59558
25.15,1.428,8.60986
25.16,1.428,8.62414
25.16,1.429,8.62414
25.17,1.429,8.63843
25.18,1.429,8.65272
25.19,1.429,8.66701
25.2,1.43,8.68131
25.21,1.43,8.69561
25.21,1.429,8.69561
25.22,1.429,8.7099
25.23,1.429,8.72419
25.24,1.429,8.73848
25.25,1.428,8.75276
25.26,1.428,8.76704
25.27,1.428,8.78132
25.27,1.428,8.78132
25.28,1.429,8.79561
25.29,1.429,8.8099
25.3,1.43,8.8242
25.31,1.43,8.8385
25.31,1.43,8.8385
25.32,1.43,8.8528
25.33,1.43,8.8671
25.34,1.43,8.8814
25.35,1.43,8.8957
25.36,1.43,8.91
25.36,1.43,8.91
25.37,1.43,8.9243
25.38,1.43,8.9386
25.39,1.43,8.9529
25.4,1.43,8.9672
25.41,1.43,8.9815
25.41,1.43,8.9815
25.42,1.43,8.9958
25.43,1.43,9.0101
25.44,1.43,9.0244
25.45,1.431,9.03871
25.46,1.431,9.05302
25.46,1.431,9.05302
25.47,1.431,9.06733
25.48,1.431,9.08164
25.49,1.432,9.09596
25.5,1.432,9.11028
25.51,1.432,9.1246
25.51,1.431,9.1246
25.52,1.431,9.13891
25.53,1.431,9.15322
25.54,1.43,9.16752
25.55,1.43,9.18182
25.56,1.43,9.19612
25.56,1.43,9.19612
25.57,1.43,9.21042
25.58,1.43,9.22472
25.59,1.43,9.23902
25.6,1.431,9.25333
25.61,1.431,9.26764
25.62,1.431,9.28195
25.62,1.431,9.28195
25.63,1.431,9.29626
25.64,1.431,9.31057
25.65,1.431,9.32488
25.66,1.431,9.33919
25.66,1.431,9.33919
25.67,1.432,9.35351
25.68,1.432,9.36783
25.69,1.432,9.38215
25.7,1.432,9.39647
25.71,1.432,9.41079
25.71,1.432,9.41079
25.72,1.432,9.42511
25.73,1.432,9.43943
25.74,1.433,9.45376
25.75,1.433,9.46809
25.76,1.433,9.48242
25.77,1.433,9.49675
25.77,1.433,9.49675
25.78,1.433,9.51108
25.79,1.433,9.52541
25.8,1.433,9.53974
25.81,1.433,9.55407
25.81,1.433,9.55407
25.82,1.433,9.5684
25.83,1.433,9.58273
25.84,1.433,9.59706
25.85,1.433,9.61139
25.86,1.433,9.62572
25.87,1.433,9.64005
25.87,1.433,9.64005
25.88,1.433,9.65438
25.89,1.433,9.66871
25.9,1.434,9.68305
25.91,1.434,9.69739
25.91,1.434,9.69739
25.92,1.434,9.71173
25.93,1.434,9.72607
25.94,1.434,9.74041
25.95,1.434,9.75475
25.96,1.434,9.76909
25.96,1.434,9.76909
25.97,1.434,9.78343
25.98,1.434,9.79777
25.99,1.434,9.81211
26,1.434,9.82645
26.01,1.434,9.84079
26.01,1.435,9.84079
26.02,1.435,9.85514
26.03,1.435,9.86949
26.04,1.435,9.88384
26.05,1.435,9.89819
26.06,1.435,9.91254
26.06,1.436,9.91254
26.07,1.436,9.9269
26.08,1.436,9.94126
26.09,1.436,9.95562
26.1,1.436,9.96998
26.11,1.436,9.98434
26.11,1.436,9.98434
26.12,1.436,9.9987
26.13,1.436,10.01306
26.14,1.436,10.02742
26.15,1.436,10.04178
26.16,1.436,10.05614
26.16,1.436,10.05614
26.17,1.436,10.0705
26.18,1.436,10.08486
26.19,1.436,10.09922
26.2,1.436,10.11358
26.21,1.436,10.12794
26.21,1.436,10.12794
26.22,1.436,10.1423
26.23,1.436,10.15666
26.24,1.436,10.17102
26.25,1.437,10.18539
26.25,1.437,10.18539
26.26,1.437,10.19976
26.27,1.437,10.21413
26.28,1.437,10.2285
26.29,1.437,10.24287
26.3,1.437,10.25724
26.31,1.437,10.27161
26.31,1.436,10.27161
26.32,1.436,10.28597
26.33,1.436,10.30033
26.34,1.436,10.31469
26.35,1.436,10.32905
26.36,1.436,10.34341
26.36,1.436,10.34341
26.37,1.436,10.35777
