Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
17.59,1.425,7.81087
17.6,1.425,7.82512
17.61,1.425,7.83937
17.61,1.425,7.83937
17.62,1.425,7.85362
17.63,1.425,7.86787
17.64,1.425,7.88212
17.65,1.425,7.89637
17.66,1.425,7.91062
17.67,1.425,7.92487
17.67,1.425,7.92487
17.68,1.425,7.93912
17.69,1.425,7.95337
17.7,1.426,7.96763
17.71,1.426,7.98189
17.72,1.426,7.99615
17.72,1.426,7.99615
17.73,1.426,8.01041
17.74,1.426,8.02467
17.75,1.426,8.03893
17.76,1.426,8.05319
17.76,1.426,8.05319
17.77,1.426,8.06745
17.78,1.426,8.08171
17.79,1.426,8.09597
17.8,1.426,8.11023
17.81,1.426,8.12449
17.81,1.426,8.12449
17.82,1.426,8.13875
17.83,1.427,8.15302
17.84,1.427,8.16729
17.85,1.427,8.18156
17.86,1.427,8.19583
17.87,1.427,8.2101
17.87,1.427,8.2101
17.88,1.427,8.22437
17.89,1.427,8.23864
17.9,1.427,8.25291
17.91,1.427,8.26718
17.91,1.427,8.26718
17.92,1.427,8.28145
17.93,1.427,8.29572
17.94,1.427,8.30999
17.95,1.427,8.32426
17.96,1.428,8.33854
17.97,1.428,8.35282
17.97,1.428,8.35282
17.98,1.428,8.3671
17.99,1.428,8.38138
18,1.428,8.39566
18.01,1.428,8.40994
18.01,1.428,8.40994
18.02,1.428,8.42422
18.03,1.428,8.4385
18.04,1.428,8.45278
18.05,1.428,8.46706
18.06,1.428,8.48134
18.06,1.428,8.48134
18.07,1.428,8.49562
18.08,1.428,8.5099
18.09,1.428,8.52418
18.1,1.428,8.53846
18.11,1.428,8.55274
18.12,1.428,8.56702
18.12,1.428,8.56702
18.13,1.428,8.5813
18.14,1.428,8.59558
18.15,1.428,8.60986
18.16,1.428,8.62414
18.16,1.429,8.62414
18.17,1.429,8.63843
18.18,1.429,8.65272
18.19,1.429,8.66701
18.2,1.43,8.68131
18.21,1.43,8.69561
18.21,1.429,8.69561
18.22,1.429,8.7099
18.23,1.429,8.72419
18.24,1.429,8.73848
18.25,1.428,8.75276
18.26,1.428,8.76704
18.27,1.428,8.78132
18.27,1.428,8.78132
18.28,1.429,8.79561
18.29,1.429,8.8099
18.3,1.43,8.8242
18.31,1.43,8.8385
18.31,1.43,8.8385
18.32,1.43,8.8528
18.33,1.43,8.8671
18.34,1.43,8.8814
18.35,1.43,8.8957
18.36,1.43,8.91
18.36,1.43,8.91
18.37,1.43,8.9243
18.38,1.43,8.9386
18.39,1.43,8.9529
18.4,1.43,8.9672
18.41,1.43,8.9815
18.41,1.43,8.9815
18.42,1.43,8.9958
18.43,1.43,9.0101
18.44,1.43,9.0244
18.45,1.431,9.03871
18.46,1.431,9.05302
18.46,1.431,9.05302
18.47,1.431,9.06733
18.48,1.431,9.08164
18.49,1.432,9.09596
18.5,1.432,9.11028
18.51,1.432,9.1246
18.51,1.431,9.1246
18.52,1.431,9.13891
18.53,1.431,9.15322
18.54,1.43,9.16752
18.55,1.43,9.18182
18.56,1.43,9.19612
18.56,1.43,9.19612
18.57,1.43,9.21042
18.58,1.43,9.22472
18.59,1.43,9.23902
18.6,1.431,9.25333
18.61,1.431,9.26764
18.62,1.431,9.28195
18.62,1.431,9.28195
18.63,1.431,9.29626
18.64,1.431,9.31057
18.65,1.431,9.32488
18.66,1.431,9.33919
18.66,1.431,9.33919
18.67,1.432,9.35351
18.68,1.432,9.36783
18.69,1.432,9.38215
18.7,1.432,9.39647
18.71,1.432,9.41079
18.71,1.432,9.41079
18.72,1.432,9.42511
18.73,1.432,9.43943
18.74,1.433,9.45376
18.75,1.433,9.46809
18.76,1.433,9.48242
18.77,1.433,9.49675
18.77,1.433,9.49675
18.78,1.433,9.51108
18.79,1.433,9.52541
18.8,1.433,9.53974
18.81,1.433,9.55407
18.81,1.433,9.55407
18.82,1.433,9.5684
18.83,1.433,9.58273
18.84,1.433,9.59706
18.85,1.433,9.61139
18.86,1.433,9.62572
18.87,1.433,9.64005
18.87,1.433,9.64005
18.88,1.433,9.65438
18.89,1.433,9.66871
18.9,1.434,9.68305
18.91,1.434,9.69739
18.91,1.434,9.69739
18.92,1.434,9.71173
18.93,1.434,9.72607
18.94,1.434,9.74041
18.95,1.434,9.75475
18.96,1.434,9.76909
18.96,1.434,9.76909
18.97,1.434,9.78343
18.98,1.434,9.79777
18.99,1.434,9.81211
19,1.434,9.82645
19.01,1.434,9.84079
19.01,1.435,9.84079
19.02,1.435,9.85514
19.03,1.435,9.86949
19.04,1.435,9.88384
19.05,1.435,9.89819
19.06,1.435,9.91254
19.06,1.436,9.91254
19.07,1.436,9.9269
19.08,1.436,9.94126
19.09,1.436,9.95562
19.1,1.436,9.96998
19.11,1.436,9.98434
19.11,1.436,9.98434
19.12,1.436,9.9987
19.13,1.436,10.01306
19.14,1.436,10.02742
19.15,1.436,10.04178
19.16,1.436,10.05614
19.16,1.436,10.05614
19.17,1.436,10.0705
19.18,1.436,10.08486
19.19,1.436,10.09922
19.2,1.436,10.11358
19.21,1.436,10.12794
19.21,1.436,10.12794
19.22,1.436,10.1423
19.23,1.436,10.15666
19.24,1.436,10.17102
19.25,1.437,10.18539
19.25,1.437,10.18539
19.26,1.437,10.19976
19.27,1.437,10.21413
19.28,1.437,10.2285
19.29,1.437,10.24287
19.3,1.437,10.25724
19.31,1.437,10.27161
19.31,1.436,10.27161
19.32,1.436,10.28597
19.33,1.436,10.30033
19.34,1.436,10.31469
19.35,1.436,10.32905
19.36,1.436,10.34341
19.36,1.436,10.34341
19.37,1.436,10.35777
19.38,1.436,10.37213
19.39,1.437,10.3865
19.4,1.437,10.40087
19.41,1.437,10.41524
19.41,1.437,10.41524
19.42,1.437,10.42961
19.43,1.437,10.44398
19.44,1.438,10.45836
19.45,1.438,10.47274
19.46,1.438,10.48712
19.46,1.438,10.48712
19.47,1.438,10.5015
19.48,1.438,10.51588
19.49,1.438,10.53026
19.5,1.438,10.54464
19.5,1.438,10.54464
19.51,1.438,10.55902
19.52,1.438,10.5734
19.53,1.438,10.58778
19.54,1.437,10.60215
19.55,1.437,10.61652
19.56,1.437,10.63089
19.56,1.437,10.63089
19.57,1.437,10.64526
19.58,1.438,10.65964
19.59,1.438,10.67402
19.6,1.438,10.6884
19.61,1.438,10.70278
19.61,1.438,10.70278
19.62,1.438,10.71716
19.63,1.438,10.73154
19.64,1.437,10.74591
19.65,1.437,10.76028
19.66,1.437,10.77465
19.66,1.437,10.77465
19.67,1.437,10.78902
19.68,1.437,10.80339
19.69,1.437,10.81776
19.7,1.437,10.83213
19.71,1.437,10.8465
19.71,1.437,10.8465
19.72,1.437,10.86087
19.73,1.437,10.87524
19.74,1.436,10.8896
19.75,1.436,10.90396
19.76,1.436,10.91832
19.76,1.436,10.91832
19.77,1.437,10.93269
19.78,1.437,10.94706
19.79,1.437,10.96143
19.8,1.438,10.97581
19.81,1.438,10.99019
19.81,1.438,10.99019
19.82,1.439,11.00458
19.83,1.439,11.01897
19.84,1.439,11.03336
19.85,1.438,11.04774
19.86,1.438,11.06212
19.86,1.438,11.06212
19.87,1.438,11.0765
19.88,1.438,11.09088
19.89,1.438,11.10526
19.9,1.438,11.11964
19.91,1.439,11.13403
19.91,1.439,11.13403
19.92,1.439,11.14842
19.93,1.439,11.16281
19.94,1.439,11.1772
19.95,1.439,11.19159
19.96,1.439,11.20598
19.96,1.439,11.20598
19.97,1.439,11.22037
19.98,1.439,11.23476
19.99,1.439,11.24915
20,1.439,11.26354
20.01,1.439,11.27793
20.01,1.439,11.27793
20.02,1.439,11.29232
20.03,1.439,11.30671
20.04,1.439,11.3211
20.05,1.439,11.33549
20.06,1.439,11.34988
20.06,1.439,11.34988
20.07,1.439,11.36427
20.08,1.439,11.37866
