Temp (K) ,cp (J/g-K),Enthalpy (J/g)
313.95,1.540471571,46.94878806
314.05,1.565385909,47.10532665
314.15,1.584713,47.26379795
314.25,1.606475,47.42444545
314.35,1.629074,47.58735285
314.45,1.653499182,47.75270276
314.55,1.671503462,47.91985311
314.65,1.707752,48.09062831
314.75,1.739879923,48.2646163
314.85,1.768624728,48.44147878
314.95,1.799642643,48.62144304
315.05,1.8337205,48.80481509
315.15,1.872641,48.99207919
315.25,1.912208272,49.18330002
315.35,1.959495846,49.3792496
315.45,2.003973909,49.57964699
315.55,2.052536214,49.78490061
315.65,2.104033454,49.99530396
315.75,2.150846923,50.21038865
315.85,2.203636454,50.4307523
315.95,2.255278769,50.65628017
316.05,2.305750454,50.88685522
316.15,2.359834786,51.1228387
316.25,2.410908091,51.36392951
316.35,2.456545077,51.60958401
316.45,2.499782272,51.85956224
316.55,2.546904286,52.11425267
316.65,2.583406182,52.37259329
316.75,2.615768231,52.63417011
316.85,2.642224454,52.89839256
316.95,2.664443,53.16483686
317.05,2.677987182,53.43263558
317.15,2.694335857,53.70206916
317.25,2.700281818,53.97209734
317.35,2.701271,54.24222444
317.45,2.702108,54.51243524
317.55,2.700498385,54.78248508
317.65,2.696629454,55.05214803
317.75,2.690261231,55.32117415
317.85,2.685824546,55.5897566
317.95,2.678221307,55.85757874
318.05,2.670986818,56.12467742
318.15,2.663734769,56.39105089
318.25,2.653409818,56.65639188
318.35,2.644161846,56.92080806
318.45,2.630582546,57.18386632
318.55,2.621176538,57.44598397
318.65,2.6135534,57.70733931
318.75,2.610336929,57.968373
318.85,2.6070248,58.22907548
318.95,2.605075786,58.48958306
319.05,2.6052671,58.75010977
319.15,2.605554071,59.01066518
319.25,2.610114091,59.27167659
319.35,2.619502538,59.53362684
319.45,2.6354828,59.79717512
319.55,2.672872786,60.0644624
319.65,2.710478,60.3355102
319.75,2.759474693,60.61145767
319.85,2.810385363,60.8924962
319.95,2.871954615,61.17969167
320.05,2.925054363,61.4721971
320.15,2.9938025,61.77157735
320.25,3.056996,62.07727695
320.35,3.132197231,62.39049668
320.45,3.204688454,62.71096552
