Temp (K) ,cp (J/g-C),Enthalpy (J/g)
325.95,75.71437087,187.6943302
326.05,66.11610588,194.3059408
326.15,57.819434,200.0878842
326.25,50.7289475,205.160779
326.35,46.03076136,209.7638551
326.45,41.563775,213.9202326
326.55,36.23129546,217.5433622
326.65,31.43320063,220.6866822
326.75,27.887024,223.4753846
326.85,25.06719125,225.9821037
326.95,22.8795455,228.2700583
327.05,19.901495,230.2602078
327.15,17.468165,232.0070243
327.25,15.091778,233.5162021
327.35,12.437345,234.7599366
327.45,10.281035,235.7880401
327.55,9.02675,236.6907151
327.65,8.0755625,237.4982713
327.75,7.28597,238.2268683
327.85,6.6331775,238.8901861
327.95,6.009284,239.4911145
328.05,5.4532775,240.0364422
328.15,5.02812875,240.5392551
328.25,4.644362,241.0036913
328.35,4.30544,241.4342353
328.45,4.0613375,241.8403691
328.55,3.8316275,242.2235318
328.65,3.632384,242.5867702
328.75,3.474135715,242.9341838
328.85,3.345959,243.2687797
328.95,3.238033572,243.592583
329.05,3.1145675,243.9040398
329.15,3.0332,244.2073598
329.25,2.922782857,244.4996381
329.35,2.81581625,244.7812197
329.45,2.722224285,245.0534421
329.55,2.6152,245.3149621
329.65,2.50929875,245.565892
329.75,2.412945,245.8071865
329.85,2.30702,246.0378885
329.95,2.1981215,246.2577007
330.05,2.10733,246.4684337
330.15,2.011630454,246.6695967
330.25,1.92911,246.8625077
330.35,1.856409091,247.0481486
330.45,1.788833,247.2270319
330.55,1.71764,247.3987959
330.65,1.655282,247.5643241
330.75,1.60592,247.7249161
330.85,1.562429,247.881159
330.95,1.520507693,248.0332098
331.05,1.494542,248.182664
331.15,1.460526154,248.3287166
331.25,1.430075,248.4717241
331.35,1.422971923,248.6140213
331.45,1.403912,248.7544125
331.55,1.390745,248.893487
331.65,1.373567273,249.0308437
331.75,1.370816923,249.1679254
331.85,1.361597273,249.3040851
331.95,1.357005385,249.4397857
332.05,1.354151,249.5752008
332.15,1.352138462,249.7104146
332.25,1.347606364,249.8451753
332.35,1.343456923,249.979521
332.45,1.340144546,250.1135354
332.55,1.337866538,250.2473221
332.65,1.335092273,250.3808313
332.75,1.330763462,250.5139076
332.85,1.327785909,250.6466862
332.95,1.325370385,250.7792233
333.05,1.322966818,250.9115199
333.15,1.321884615,251.0437084
333.25,1.319546818,251.1756631
333.35,1.317412307,251.3074043
333.45,1.31636,251.4390403
333.55,1.313795,251.5704198
333.65,1.312473636,251.7016672
333.75,1.311098462,251.832777
333.85,1.308820454,251.9636591
333.95,1.308007307,252.0944598
334.05,1.306955,252.2251553
334.15,1.305179231,252.3556732
334.25,1.302990909,252.4859723
334.35,1.302088077,252.6161811
334.45,1.300892273,252.7462704
334.55,1.299720385,252.8762424
334.65,1.299337727,253.0061762
334.75,1.29755,253.1359312
334.85,1.296850454,253.2656162
334.95,1.296234615,253.3952397
335.05,1.295451364,253.5247848
335.15,1.295248077,253.6543096
335.25,1.294674091,253.783777
335.35,1.293275,253.9131045
335.45,1.292964091,254.0424009
335.55,1.292156923,254.1716166
335.65,1.291798182,254.3007964
335.75,1.291565,254.4299529
335.85,1.291409546,254.5590939
335.95,1.289986538,254.6880926
336.05,1.289233182,254.8170159
336.15,1.289,254.9459159
336.25,1.288067273,255.0747226
336.35,1.287618846,255.2034845
336.45,1.286279546,255.3321124
336.55,1.286500769,255.4607625
336.65,1.28558,255.5893205
336.75,1.284988077,255.7178193
336.85,1.284258636,255.8462452
336.95,1.284527693,255.974698
337.05,1.284336364,256.1031316
337.15,1.284264615,256.2315581
337.25,1.284025454,256.3599606
337.35,1.284264615,256.4883871
337.45,1.284103182,256.6167974
337.55,1.284198846,256.7452173
337.65,1.283170454,256.8735343
337.75,1.283212307,257.0018555
337.85,1.282626364,257.1301182
337.95,1.282620385,257.2583802
338.05,1.281849091,257.3865651
338.15,1.281765385,257.5147417
338.25,1.28045,257.6427867
338.35,1.280318462,257.7708185
338.45,1.279905909,257.8988091
338.55,1.280121154,258.0268212
338.65,1.280216818,258.1548429
338.75,1.279331923,258.2827761
338.85,1.278662273,258.4106423
338.95,1.278608462,258.5385032
339.05,1.278195909,258.6663228
339.15,1.277358846,258.7940586
339.25,1.277729546,258.9218316
339.35,1.277424615,259.0495741
339.45,1.277418636,259.1773159
339.55,1.276964231,259.3050123
339.65,1.276408182,259.4326532
339.75,1.276701154,259.5603233
339.85,1.276719091,259.6879952
339.95,1.275846154,259.8155798
340.05,1.276175,259.9431973
340.15,1.276635385,260.0708608
340.25,1.276485909,260.1985094
340.35,1.276372307,260.3261467
340.45,1.276796818,260.4538263
340.55,1.276175,260.5814438
340.65,1.276408182,260.7090847
340.75,1.276175,260.8367022
340.85,1.276175,260.9643197
340.95,1.276372307,261.0919569
341.05,1.27532,261.2194889
341.15,1.274728077,261.3469617
341.25,1.274465,261.4744082
341.35,1.275056923,261.6019139
341.45,1.274231818,261.7293371
341.55,1.27532,261.8568691
341.65,1.275009091,261.98437
341.75,1.27532,262.111902
341.85,1.275086818,262.2394107
341.95,1.274793846,262.3668901
342.05,1.274465,262.4943366
342.15,1.274596538,262.6217962
342.25,1.274698182,262.749266
342.35,1.273215385,262.8765876
342.45,1.273687727,263.0039563
342.55,1.273281154,263.1312844
342.65,1.273920909,263.2586765
342.75,1.273083846,263.3859849
342.85,1.272521818,263.5132371
342.95,1.272689231,263.640506
343.05,1.272366364,263.7677427
343.15,1.272097307,263.8949524
343.25,1.2719,264.0221424
343.35,1.273215385,264.1494639
343.45,1.272755,264.2767394
343.55,1.272360385,264.4039755
343.65,1.272055454,264.531181
343.75,1.271768462,264.6583579
343.85,1.271666818,264.7855245
343.95,1.271834231,264.912708
344.05,1.270345454,265.0397425
344.15,1.270979231,265.1668404
344.25,1.270267727,265.2938672
344.35,1.270255769,265.4208928
344.45,1.27019,265.5479118
344.55,1.270518846,265.6749637
344.65,1.270423182,265.802006
344.75,1.269992693,265.9290053
344.85,1.270500909,266.0560554
344.95,1.269795385,266.1830349
345.05,1.27019,266.3100539
345.15,1.269992693,266.4370532
345.25,1.269335,266.5639867
345.35,1.269071923,266.6908939
345.45,1.269257273,266.8178196
345.55,1.269335,266.9447531
345.65,1.269024091,267.0716555
345.75,1.268874615,267.1985429
345.85,1.268868636,267.3254298
345.95,1.26848,267.4522778
346.05,1.268246818,267.5791025
346.15,1.26848,267.7059505
346.25,1.268246818,267.8327752
346.35,1.268216923,267.9595969
346.45,1.268091364,268.086406
346.55,1.266967307,268.2131027
346.65,1.267469546,268.3398497
346.75,1.266704231,268.4665201
346.85,1.265604091,268.5930805
346.95,1.265915,268.719672
347.05,1.265526364,268.8462247
347.15,1.265849231,268.9728096
347.25,1.264515909,269.0992612
347.35,1.264796923,269.2257409
347.45,1.263583182,269.3520992
347.55,1.264139231,269.4785131
347.65,1.26335,269.6048481
347.75,1.263415769,269.7311897
347.85,1.263660909,269.8575558
347.95,1.261968846,269.9837527
348.05,1.26164,270.1099167
348.15,1.261574231,270.2360741
348.25,1.261406818,270.3622148
348.35,1.26164,270.4883788
348.45,1.261950909,270.6145739
348.55,1.261113846,270.7406852
348.65,1.260940454,270.8667793
348.75,1.261311154,270.9929104
348.85,1.260474091,271.1189578
348.95,1.260193077,271.2449771
349.05,1.259619091,271.370939
349.15,1.259441428,271.4968832
349.25,1.258391,271.6227223
349.35,1.258088462,271.7485311
349.45,1.257598182,271.8742909
349.55,1.256707307,271.9999617
349.65,1.256743182,272.125636
349.75,1.255918077,272.2512278
349.85,1.255655,272.3767933
349.95,1.255838215,272.5023771
350.05,1.2555695,272.6279341
350.15,1.255166428,272.7534507
350.25,1.255313,272.878982
350.35,1.254339615,273.004416
350.45,1.254100454,273.129826
350.55,1.254076538,273.2552337
350.65,1.254255909,273.3806593
350.75,1.253945,273.5060538
350.85,1.2538595,273.6314397
350.95,1.25309,273.7567487
351.05,1.2538595,273.8821347
351.15,1.253273215,274.007462
351.25,1.2528335,274.1327453
351.35,1.252695385,274.2580149
351.45,1.252545909,274.3832695
351.55,1.252235,274.508493
351.65,1.252001818,274.6336931
351.75,1.252037693,274.7588969
351.85,1.251690909,274.884066
351.95,1.25138,275.009204
352.05,1.25138,275.134342
352.15,1.25138,275.25948
352.25,1.2506105,275.384541
352.35,1.25138,275.509679
352.45,1.250602727,275.6347393
352.55,1.250463928,275.7597857
352.65,1.250525,275.8848382
352.75,1.24967,276.0098052
352.85,1.249825454,276.1347878
352.95,1.250341785,276.2598219
353.05,1.2497555,276.3847975
353.15,1.248876072,276.5096851
353.25,1.249328,276.6346179
353.35,1.248570715,276.759475
353.45,1.248473,276.8843223
353.55,1.247776785,277.0090999
353.65,1.247618,277.1338617
353.75,1.247410357,277.2586028
353.85,1.2477035,277.3833731
353.95,1.247410357,277.5081142
354.05,1.247105,277.6328247
354.15,1.246738572,277.7574985
354.25,1.24625,277.8821235
354.35,1.246841923,278.0068077
354.45,1.246327727,278.1314405
354.55,1.246127857,278.2560533
354.65,1.24625,278.3806783
354.75,1.246188928,278.5052972
354.85,1.2456515,278.6298623
354.95,1.245456072,278.7544079
355.05,1.245395,278.8789474
355.15,1.245395,279.0034869
355.25,1.2454805,279.128035
355.35,1.245456072,279.2525806
355.45,1.2451385,279.3770944
355.55,1.244662143,279.5015606
355.65,1.24454,279.6260146
355.75,1.24454,279.7504686
355.85,1.24454,279.8749226
355.95,1.244295715,279.9993522
356.05,1.244198,280.123772
356.15,1.24454,280.248226
356.25,1.244027,280.3726287
356.35,1.244173572,280.4970461
356.45,1.244198,280.6214659
356.55,1.243685,280.7458344
356.65,1.2441125,280.8702456
356.75,1.243990357,280.9946447
356.85,1.243685,281.1190132
356.95,1.2441125,281.2434244
