Temp (K) ,cp (J/g-K),Enthalpy (J/g)
310.35,1.297169231,45.96346999
310.45,1.298709091,46.0933409
310.55,1.300169231,46.22335782
310.65,1.301490909,46.35350691
310.75,1.303492308,46.48385614
310.85,1.304818182,46.61433796
310.95,1.306861539,46.74502411
311.05,1.309072727,46.87593139
311.15,1.310969231,47.00702831
311.25,1.313272727,47.13835558
311.35,1.314984615,47.26985404
311.45,1.317363636,47.40159041
311.55,1.319685714,47.53355898
311.65,1.3226,47.66581898
311.75,1.325128572,47.79833184
311.85,1.32842,47.93117384
311.95,1.3325,48.06442384
312.05,1.3379,48.19821384
312.15,1.341457143,48.33235955
312.25,1.34546,48.46690555
312.35,1.350971428,48.60200269
312.45,1.358490909,48.73785178
312.55,1.366723077,48.87452409
312.65,1.379763636,49.01250046
312.75,1.384123077,49.15091276
312.85,1.391,49.29001276
312.95,1.403092308,49.43032199
313.05,1.412163636,49.57153836
313.15,1.4234,49.71387836
313.25,1.432181818,49.85709654
313.35,1.448692308,50.00196577
313.45,1.456727273,50.1476385
313.55,1.467938461,50.29443234
313.65,1.481818182,50.44261416
313.75,1.492957143,50.59190988
313.85,1.50356,50.74226588
313.95,1.517685714,50.89403445
314.05,1.535545455,51.04758899
314.15,1.5494,51.20252899
314.25,1.565,51.35902899
314.35,1.5812,51.51714899
314.45,1.598709091,51.6770199
314.55,1.611615385,51.83818144
314.65,1.6376,52.00194144
314.75,1.660630769,52.16800452
314.85,1.681236364,52.33612815
314.95,1.703471428,52.5064753
315.05,1.7279,52.6792653
315.15,1.7558,52.8548453
315.25,1.784163636,53.03326166
315.35,1.818061539,53.21506781
315.45,1.849945455,53.40006236
315.55,1.884757143,53.58853807
315.65,1.921672727,53.78070535
315.75,1.955230769,53.97622842
315.85,1.993072727,54.1755357
315.95,2.030092308,54.37854493
316.05,2.066272727,54.5851722
316.15,2.105042857,54.79567649
316.25,2.141654545,55.00984194
316.35,2.174369231,55.22727886
316.45,2.205363636,55.44781523
316.55,2.239142857,55.67172951
316.65,2.265309091,55.89826042
316.75,2.288507692,56.12711119
316.85,2.307472727,56.35785846
316.95,2.3234,56.59019846
317.05,2.333109091,56.82350937
317.15,2.344828572,57.05799223
317.25,2.349090909,57.29290132
317.35,2.3498,57.52788132
317.45,2.3504,57.76292132
317.55,2.349246154,57.99784594
317.65,2.346472727,58.23249321
317.75,2.341907692,58.46668398
317.85,2.338727273,58.70055671
317.95,2.333276923,58.9338844
318.05,2.328090909,59.16669349
318.15,2.322892308,59.39898272
318.25,2.315490909,59.63053181
318.35,2.308861539,59.86141796
318.45,2.299127273,60.09133069
318.55,2.292384615,60.32056915
318.65,2.28692,60.54926115
318.75,2.284614286,60.77772258
318.85,2.28224,61.00594658
318.95,2.280842857,61.23403087
319.05,2.28098,61.46212887
319.15,2.281185714,61.69024744
319.25,2.284454545,61.91869289
319.35,2.291184615,62.14781136
319.45,2.30264,62.37807536
319.55,2.329442857,62.61101964
319.65,2.3564,62.84665964
319.75,2.391523077,63.08581195
319.85,2.428018182,63.32861377
319.95,2.472153846,63.57582915
320.05,2.510218182,63.82685097
320.15,2.5595,64.08280097
320.25,2.6048,64.34328097
320.35,2.658707692,64.60915174
320.45,2.710672727,64.88021901
320.55,2.775157143,65.15773473
320.65,2.829418182,65.44067654
320.75,2.902307692,65.73090731
320.85,2.970472727,66.02795459
320.95,3.040828572,66.33203744
321.05,3.127127273,66.64475017
321.15,3.212642857,66.96601446
321.25,3.301618182,67.29617627
321.35,3.398514286,67.6360277
321.45,3.499672727,67.98599498
321.55,3.604742857,68.34646926
321.65,3.724345455,68.71890381
321.75,3.841057143,69.10300952
