Temp (C),cp (J/g-C),Enthalpy (J/g)
56.17532104969291,2.125407035175879,211.30336834170856
56.55220547180346,2.1141005025125628,212.1015879396985
56.92908989391402,2.104793969849246,212.89594271356785
57.30597431602457,2.0956582914572865,213.68677688442213
57.68285873813512,2.0911206030150753,214.47549095477387
58.059743160245674,2.085582914572864,215.2623311557789
58.43662758235622,2.082,216.047491959799
58.81351200446678,2.078,216.83106683417085
59.19039642657733,2.072,217.6130236180905
59.567280848687886,2.07,218.39367135678393
59.944165270798436,2.0644472361809045,219.1723904522613
60.32104969290899,2.062035175879397,219.9499512562814
60.69793411501954,2.06,220.72643316582915
61.07481853713009,2.059281407035176,221.50292914572864
61.45170295924065,2.058,222.27877135678392
61.8285873813512,2.055603015075377,223.05368040201006
62.205471803461755,2.0566683417085425,223.82867788944728
62.582356225572305,2.0560653266331657,224.6034688442211
62.95924064768286,2.0565929648241204,225.37854321608043
63.33612506979341,2.057472361809045,226.1536120603015
63.71300949190396,2.059241206030151,226.92928844221106
64.08989391401452,2.062,227.70587236180907
64.46677833612507,2.063221105527638,228.48338592964825
64.84366275823562,2.063,229.2609984924623
65.22054718034617,2.0656331658291456,230.03913768844222
65.59743160245672,2.0681708542713566,230.8182834170854
65.97431602456729,2.072145728643216,231.59910502512565
66.35120044667784,2.0726231155778896,232.3801718592965
66.72808486878839,2.074608040201005,233.16149246231154
67.10496929089894,2.075321608040201,233.94369899497488
67.4818537130095,2.0789296482412065,234.72677386934677
67.85873813512005,2.082,235.51132613065326
68.2356225572306,2.0839346733668345,236.29633969849246
68.61250697934115,2.086,237.08216733668343
68.9893914014517,2.090994974874372,237.8692502512563
69.36627582356226,2.0915477386934676,238.6571934673367
69.74316024567281,2.092,239.44573567839197
70.12004466778336,2.0946231155778894,240.23480251256282
70.49692908989391,2.09708040201005,241.02506834170853
70.87381351200447,2.1001507537688444,241.81634170854275
71.25069793411502,2.1,242.60799899497488
71.62758235622557,2.105,243.40074974874372
72.00446677833612,2.1071557788944726,244.19463819095478
72.38135120044667,2.110924623115578,244.9898879396985
72.75823562255724,2.115386934673367,245.78633768844222
73.13512004466779,2.1154623115577893,246.58362512562815
73.51200446677834,2.1182311557788944,247.38138190954777
73.88888888888889,2.12,248.1803
