Temperature,Heat Capacity (Normalized),Enthalpy
54.7,11.837,157.3708
54.8,11.962,158.567
54.9,12.109,159.7779
55,12.25,161.0029
55.1,12.353,162.2382
55.2,12.482,163.4864
55.3,12.62,164.7484
55.4,12.72,166.0204
55.5,12.827,167.3031
55.6,12.933,168.5964
55.7,13.036,169.9
55.8,13.086,171.2086
55.9,13.168,172.5254
56,13.204,173.8458
56.1,13.222,175.168
56.2,13.247,176.4927
56.3,13.236,177.8163
56.4,13.248,179.1411
56.5,13.207,180.4618
56.6,13.176,181.7794
56.7,13.125,183.0919
56.8,13.078,184.3997
56.9,12.984,185.6981
57,12.849,186.983
57.1,12.644,188.2474
57.2,12.405,189.4879
57.3,12.153,190.7032
57.4,11.798,191.883
57.5,11.413,193.0243
57.6,10.948,194.1191
57.7,10.354,195.1545
57.8,9.75,196.1295
57.9,9.049,197.0344
58,8.345,197.8689
58.1,7.642,198.6331
58.2,6.923,199.3254
58.3,6.315,199.9569
58.4,5.78,200.5349
58.5,5.311,201.066
58.6,4.921,201.5581
58.7,4.586,202.0167
58.8,4.276,202.4443
58.9,4.012,202.8455
59,3.805,203.226
59.1,3.593,203.5853
59.2,3.423,203.9276
59.3,3.265,204.2541
59.4,3.125,204.5666
59.5,3.007,204.8673
59.6,2.878,205.1551
59.7,2.777,205.4328
59.8,2.688,205.7016
59.9,2.608,205.9624
60,2.54,206.2164
60.1,2.499,206.4663
60.2,2.435,206.7098
60.3,2.391,206.9489
60.4,2.36,207.1849
60.5,2.312,207.4161
60.6,2.293,207.6454
60.7,2.266,207.872
60.8,2.248,208.0968
60.9,2.216,208.3184
61,2.212,208.5396
61.1,2.185,208.7581
61.2,2.172,208.9753
61.3,2.166,209.1919
61.4,2.164,209.4083
61.5,2.154,209.6237
61.6,2.149,209.8386
61.7,2.144,210.053
61.8,2.142,210.2672
61.9,2.135,210.4807
62,2.132,210.6939
62.1,2.13,210.9069
62.2,2.128,211.1197
62.3,2.125,211.3322
62.4,2.122,211.5444
62.5,2.118,211.7562
62.6,2.116,211.9678
62.7,2.113,212.1791
62.8,2.11,212.3901
62.9,2.107,212.6008
63,2.106,212.8114
63.1,2.103,213.0217
63.2,2.1,213.2317
63.3,2.097,213.4414
63.4,2.096,213.651
63.5,2.094,213.8604
63.6,2.093,214.0697
63.7,2.093,214.279
63.8,2.091,214.4881
63.9,2.09,214.6971
64,2.088,214.9059
64.1,2.087,215.1146
64.2,2.085,215.3231
64.3,2.085,215.5316
64.4,2.083,215.7399
64.5,2.082,215.9481
64.6,2.082,216.1563
64.7,2.08,216.3643
64.8,2.078,216.5721
64.9,2.078,216.7799
65,2.078,216.9877
65.1,2.075,217.1952
65.2,2.075,217.4027
65.3,2.072,217.6099
65.4,2.072,217.8171
65.5,2.073,218.0244
65.6,2.07,218.2314
65.7,2.07,218.4384
65.8,2.068,218.6452
65.9,2.066,218.8518
66,2.065,219.0583
66.1,2.064,219.2647
66.2,2.064,219.4711
66.3,2.063,219.6774
66.4,2.063,219.8837
66.5,2.06,220.0897
66.6,2.061,220.2958
66.7,2.06,220.5018
66.8,2.06,220.7078
66.9,2.06,220.9138
67,2.061,221.1199
67.1,2.061,221.326
67.2,2.059,221.5319
67.3,2.059,221.7378
67.4,2.059,221.9437
67.5,2.058,222.1495
67.6,2.058,222.3553
67.7,2.056,222.5609
67.8,2.056,222.7665
67.9,2.056,222.9721
68,2.055,223.1776
68.1,2.056,223.3832
68.2,2.057,223.5889
68.3,2.057,223.7946
68.4,2.055,224.0001
68.5,2.055,224.2056
68.6,2.057,224.4113
68.7,2.056,224.6169
68.8,2.055,224.8224
68.9,2.057,225.0281
69,2.058,225.2339
69.1,2.056,225.4395
69.2,2.056,225.6451
69.3,2.056,225.8507
69.4,2.057,226.0564
69.5,2.058,226.2622
69.6,2.057,226.4679
69.7,2.058,226.6737
69.8,2.059,226.8796
69.9,2.06,227.0856
70,2.059,227.2915
70.1,2.061,227.4976
70.2,2.062,227.7038
70.3,2.062,227.91
70.4,2.063,228.1163
70.5,2.064,228.3227
70.6,2.063,228.529
70.7,2.063,228.7353
70.8,2.064,228.9417
70.9,2.063,229.148
71,2.063,229.3543
71.1,2.064,229.5607
71.2,2.065,229.7672
71.3,2.065,229.9737
71.4,2.067,230.1804
71.5,2.066,230.387
71.6,2.068,230.5938
71.7,2.068,230.8006
71.8,2.07,231.0076
71.9,2.072,231.2148
72,2.073,231.4221
72.1,2.072,231.6293
72.2,2.073,231.8366
72.3,2.072,232.0438
72.4,2.072,232.251
72.5,2.073,232.4583
72.6,2.072,232.6655
72.7,2.072,232.8727
72.8,2.075,233.0802
72.9,2.074,233.2876
73,2.076,233.4952
73.1,2.076,233.7028
73.2,2.075,233.9103
73.3,2.077,234.118
73.4,2.077,234.3257
73.5,2.078,234.5335
73.6,2.079,234.7414
73.7,2.081,234.9495
73.8,2.082,235.1577
73.9,2.082,235.3659
74,2.082,235.5741
74.1,2.082,235.7823
74.2,2.083,235.9906
74.3,2.083,236.1989
74.4,2.085,236.4074
74.5,2.084,236.6158
74.6,2.085,236.8243
74.7,2.086,237.0329
74.8,2.086,237.2415
74.9,2.088,237.4503
75,2.088,237.6591
75.1,2.091,237.8682
75.2,2.09,238.0772
75.3,2.091,238.2863
75.4,2.09,238.4953
75.5,2.092,238.7045
75.6,2.093,238.9138
75.7,2.092,239.123
75.8,2.092,239.3322
75.9,2.092,239.5414
76,2.093,239.7507
76.1,2.094,239.9601
76.2,2.094,240.1695
76.3,2.096,240.3791
76.4,2.096,240.5887
76.5,2.098,240.7985
76.6,2.097,241.0082
76.7,2.098,241.218
76.8,2.099,241.4279
76.9,2.101,241.638
77,2.1,241.848
77.1,2.101,242.0581
77.2,2.101,242.2682
77.3,2.1,242.4782
77.4,2.1,242.6882
77.5,2.102,242.8984
77.6,2.104,243.1088
77.7,2.105,243.3193
77.8,2.105,243.5298
77.9,2.105,243.7403
78,2.108,243.9511
78.1,2.107,244.1618
78.2,2.108,244.3726
78.3,2.111,244.5837
78.4,2.11,244.7947
78.5,2.111,245.0058
78.6,2.111,245.2169
78.7,2.113,245.4282
78.8,2.114,245.6396
78.9,2.116,245.8512
79,2.116,246.0628
79.1,2.115,246.2743
79.2,2.115,246.4858
79.3,2.116,246.6974
79.4,2.115,246.9089
79.5,2.117,247.1206
79.6,2.118,247.3324
79.7,2.119,247.5443
79.8,2.119,247.7562
79.9,2.121,247.9683
80,2.12,248.1803
